一级学科代码,一级学科名称,评估结果,学校名称1,学校名称2,学校名称3,学校名称4,学校名称5,学校名称6,学校名称7,学校名称8,学校名称9,学校名称10,学校名称11,学校名称12,学校名称13,学校名称14,学校名称15,学校名称16,学校名称17,学校名称18,学校名称19,学校名称20,学校名称21,学校名称22,学校名称23,学校名称24,学校名称25,学校名称26,学校名称27
301,法学,C+,北京理工大学,北京外国语大学,河北大学,山西大学,内蒙古大学,上海海事大学,上海对外经贸大学,上海大学,华侨大学,华中师范大学,贵州大学,新疆大学,广州大学,宁波大学,广东外语外贸大学,,,,,,,,,,,,
301,法学,C,北京交通大学,首都师范大学,天津师范大学,山西财经大学,沈阳师范大学,东北财经大学,华东理工大学,河海大学,福建师范大学,河南财经政法大学,中南民族大学,西南民族大学,昆明理工大学,扬州大学,河北经贸大学,,,,,,,,,,,,
301,法学,C-,北方工业大学,北京工商大学,华北电力大学,上海师范大学,南京财经大学,杭州师范大学,安徽财经大学,武汉理工大学,华南师范大学,广西大学,广西师范大学,青岛大学,浙江财经大学,,,,,,,,,,,,,,
302,政治学,A+,北京大学,复旦大学,,,,,,,,,,,,,,,,,,,,,,,,,
302,政治学,A,中国人民大学,,,,,,,,,,,,,,,,,,,,,,,,,,
302,政治学,A-,清华大学,南开大学,吉林大学,华中师范大学,,,,,,,,,,,,,,,,,,,,,,,
302,政治学,B+,中国政法大学,天津师范大学,华东师范大学,上海外国语大学,南京大学,厦门大学,山东大学,云南大学,,,,,,,,,,,,,,,,,,,
302,政治学,B,对外经济贸易大学,东北师范大学,华东政法大学,苏州大学,武汉大学,中山大学,暨南大学,,,,,,,,,,,,,,,,,,,,
302,政治学,B-,北京师范大学,北京外国语大学,山西大学,同济大学,南京师范大学,湖南师范大学,华南师范大学,四川大学,西华师范大学,,,,,,,,,,,,,,,,,,
302,政治学,C+,首都师范大学,上海交通大学,上海师范大学,华侨大学,湘潭大学,深圳大学,西南政法大学,,,,,,,,,,,,,,,,,,,,
302,政治学,C,辽宁大学,黑龙江大学,浙江师范大学,中国海洋大学,郑州大学,河南师范大学,广东外语外贸大学,,,,,,,,,,,,,,,,,,,,
302,政治学,C-,辽宁师范大学,聊城大学,广西民族大学,贵州师范大学,陕西师范大学,,,,,,,,,,,,,,,,,,,,,,
